city_id,city_name,city_no,weather,humidity,temperature,wind,winp,hour,month,date
101010100,北京,beijing,阴,80%,23,东北风,2级,8,08,2017-08-12
101010100,北京,beijing,阴,86%,22,东北风,3级,9,08,2017-08-12
101010100,北京,beijing,阴,92%,22,西北风,3级,10,08,2017-08-12
101010100,北京,beijing,阵雨,94%,21,东北风,2级,11,08,2017-08-12
101010100,北京,beijing,多云,92%,22,东北风,3级,12,08,2017-08-12
101010100,北京,beijing,阵雨,92%,22,南风,1级,13,08,2017-08-12
101010100,北京,beijing,阵雨,81%,24,西风,1级,14,08,2017-08-12
101010100,北京,beijing,阵雨,77%,25,东北风,1级,15,08,2017-08-12
101010100,北京,beijing,阵雨,78%,25,西南风,2级,16,08,2017-08-12
101010100,北京,beijing,阵雨,91%,23,西风,3级,17,08,2017-08-12
101010100,北京,beijing,阵雨,92%,23,东北风,2级,18,08,2017-08-12
101010100,北京,beijing,阵雨,86%,23,东风,2级,19,08,2017-08-12
101010100,北京,beijing,阴,91%,23,东风,1级,21,08,2017-08-12
101010100,北京,beijing,阴,89%,23,南风,1级,23,08,2017-08-12
101010100,北京,beijing,阴,89%,23,北风,1级,0,08,2017-08-13
101010100,北京,beijing,多云,86%,23,东北风,2级,2,08,2017-08-13
101010100,北京,beijing,多云,84%,24,北风,2级,4,08,2017-08-13
101010100,北京,beijing,阵雨,87%,23,北风,2级,5,08,2017-08-13
101010100,北京,beijing,阵雨,92%,23,北风,1级,6,08,2017-08-13
101010100,北京,beijing,阴,82%,25,东北风,2级,10,08,2017-08-13
101010100,北京,beijing,阴,74%,26,东北风,2级,11,08,2017-08-13
101010100,北京,beijing,多云,70%,28,东北风,2级,12,08,2017-08-13
101010100,北京,beijing,多云,67%,29,东北风,2级,13,08,2017-08-13
101010100,北京,beijing,阵雨,67%,30,东北风,1级,14,08,2017-08-13
101010100,北京,beijing,阵雨,91%,22,东风,2级,15,08,2017-08-13
101010100,北京,beijing,阵雨,90%,22,东北风,2级,16,08,2017-08-13
101010100,北京,beijing,多云,90%,22,西风,1级,17,08,2017-08-13
101010100,北京,beijing,多云,87%,23,北风,1级,18,08,2017-08-13
101010100,北京,beijing,多云,91%,23,东北风,1级,19,08,2017-08-13
101010100,北京,beijing,阴,90%,23,东北风,2级,21,08,2017-08-13
101010100,北京,beijing,多云,90%,23,东南风,1级,23,08,2017-08-13
101010100,北京,beijing,阵雨,91%,22,东北风,1级,0,08,2017-08-14
101010100,北京,beijing,多云,91%,22,东风,2级,2,08,2017-08-14
101010100,北京,beijing,多云,91%,22,东北风,1级,4,08,2017-08-14
101010100,北京,beijing,多云,94%,22,东北风,1级,6,08,2017-08-14
101010100,北京,beijing,多云,88%,23,东北风,2级,7,08,2017-08-14
101010100,北京,beijing,多云,83%,24,东北风,1级,8,08,2017-08-14
101010100,北京,beijing,多云,71%,26,东北风,2级,9,08,2017-08-14
101010100,北京,beijing,多云,64%,28,东风,1级,10,08,2017-08-14
101010100,北京,beijing,多云,65%,28,东风,1级,11,08,2017-08-14
101010100,北京,beijing,阴,60%,29,西南风,1级,12,08,2017-08-14
101010100,北京,beijing,阴,56%,30,西北风,1级,13,08,2017-08-14
101010100,北京,beijing,阴,55%,30,南风,2级,14,08,2017-08-14
101010100,北京,beijing,阴,54%,30,南风,2级,15,08,2017-08-14
101010100,北京,beijing,阴,56%,30,东风,1级,16,08,2017-08-14
101010100,北京,beijing,阴,61%,29,东南风,3级,17,08,2017-08-14
101010100,北京,beijing,阴,66%,28,东南风,2级,18,08,2017-08-14
101010100,北京,beijing,阴,68%,27,东南风,2级,19,08,2017-08-14
101010100,北京,beijing,晴,73%,25,南风,1级,21,08,2017-08-14
101010100,北京,beijing,多云,80%,24,西南风,1级,23,08,2017-08-14
101010100,北京,beijing,多云,83%,24,西南风,1级,0,08,2017-08-15
101010100,北京,beijing,多云,86%,23,东南风,1级,2,08,2017-08-15
