month,date,city_name,max_num,min_num
1,2018-01-26,郑州,0,-7
1,2018-01-26,重庆,5,4
1,2018-01-27,北京,-4,-11
1,2018-01-27,呼和浩特,-9,-21
1,2018-01-27,恩施,1,0
1,2018-01-27,成都,4,0
1,2018-01-27,昆明,17,1
1,2018-01-27,济南,-2,-5
1,2018-01-27,西安,-3,-6
1,2018-01-27,贵阳,-2,-4
1,2018-01-27,运城,-1,-4
1,2018-01-27,郑州,-2,-5
1,2018-01-27,重庆,5,3
1,2018-01-28,北京,-2,-10
1,2018-01-28,呼和浩特,-12,-23
1,2018-01-28,恩施,3,1
1,2018-01-28,成都,7,-1
1,2018-01-28,昆明,17,2
1,2018-01-28,济南,-3,-9
1,2018-01-28,西安,-2,-6
1,2018-01-28,贵阳,-1,-3
1,2018-01-28,运城,-3,-5
1,2018-01-28,郑州,-2,-7
1,2018-01-28,重庆,5,4
1,2018-01-29,北京,0,-5
1,2018-01-29,呼和浩特,-9,-22
1,2018-01-29,恩施,3,0
1,2018-01-29,成都,6,0
1,2018-01-29,昆明,12,2
1,2018-01-29,济南,-1,-8
1,2018-01-29,西安,-3,-9
1,2018-01-29,贵阳,0,-4
1,2018-01-29,运城,0,-8
1,2018-01-29,郑州,3,-4
1,2018-01-29,重庆,6,4
1,2018-01-30,北京,4,-5
1,2018-01-30,呼和浩特,-7,-21
1,2018-01-30,恩施,7,0
1,2018-01-30,成都,4,2
1,2018-01-30,昆明,16,2
1,2018-01-30,济南,2,-7
1,2018-01-30,西安,0,-7
1,2018-01-30,贵阳,0,-3
1,2018-01-30,运城,1,-7
1,2018-01-30,郑州,5,-4
1,2018-01-30,重庆,7,5
1,2018-01-31,北京,4,-4
1,2018-01-31,呼和浩特,-7,-20
1,2018-01-31,恩施,7,1
1,2018-01-31,成都,10,1
1,2018-01-31,昆明,6,0
1,2018-01-31,济南,4,-3
1,2018-01-31,西安,2,-5
1,2018-01-31,贵阳,1,-2
1,2018-01-31,运城,2,-6
1,2018-01-31,郑州,6,0
1,2018-01-31,重庆,10,4
2,2018-02-01,北京,4,-7
2,2018-02-01,呼和浩特,-7,-16
2,2018-02-01,恩施,5,0
2,2018-02-01,成都,7,3
2,2018-02-01,昆明,11,3
2,2018-02-01,济南,6,-3
